farmers_ahead,total_qty_ahead_kg,quantity_kg,crop_type,produce_quality_grade,active_counters,staff_present,center_daily_capacity_quintals,vehicle_type,slot_hour,day_of_week,is_harvest_peak_season,weather_condition,actual_wait_time_minutes
5,6800,2770,Paddy,Grade B,2,5,1000,Tractor Trolley,11,1,0,Overcast,38.3
2,2500,590,Chana,Grade A,3,11,1500,Mini Truck (Pickup),14,0,0,Overcast,11.8
2,2800,670,Mustard,Grade B,3,10,1000,Tractor Trolley,17,5,0,Clear,12.3
11,15600,870,Cotton,Grade A,3,9,1500,Tractor Trolley,12,1,1,Clear,60.8
9,12000,840,Wheat,Grade B,2,4,1500,Tractor Trolley,12,0,1,Clear,78.3
8,7400,840,Wheat,Grade A,3,6,2500,Bullock Cart,10,2,1,Clear,50.0
14,15600,950,Wheat,Grade B,3,6,1000,Truck (6-Wheeler),11,5,1,Clear,97.6
12,17100,1010,Soybean,Grade C (High Moisture),2,5,4000,Mini Truck (Pickup),14,3,1,Clear,123.5
7,7000,1630,Cotton,Grade A,4,8,1000,Mini Truck (Pickup),13,4,0,Overcast,38.5
10,9200,480,Mustard,Grade A,2,5,1500,Mini Truck (Pickup),12,2,0,Clear,61.6
6,7100,940,Wheat,Grade B,2,6,1500,Tractor Trolley,10,1,0,Light Rain,46.0
4,4000,770,Chana,Grade A,2,5,500,Mini Truck (Pickup),15,5,1,Clear,25.2
13,15000,1140,Maize,Grade C (High Moisture),4,7,2500,Tractor Trolley,10,3,1,Clear,91.8
3,3100,1140,Wheat,Grade A,2,5,1000,Tractor Trolley,12,4,0,Light Rain,36.7
8,10100,770,Wheat,Grade A,3,9,1000,Mini Truck (Pickup),11,0,0,Clear,26.9
8,7300,1270,Wheat,Grade B,2,7,4000,Tractor Trolley,11,2,0,Clear,46.1
8,11700,2740,Paddy,Grade A,3,8,1500,Tractor Trolley,10,0,1,Heavy Rain,66.7
6,8300,690,Cotton,Grade A,5,3,4000,Mini Truck (Pickup),15,0,1,Clear,36.1
14,15600,1330,Paddy,Grade B,5,12,500,Tractor Trolley,13,4,1,Clear,49.4
5,6700,2300,Paddy,Grade B,2,6,1500,Mini Truck (Pickup),11,3,0,Clear,31.1
8,9300,2530,Cotton,Grade B,4,12,1500,Tractor Trolley,11,0,0,Clear,35.9
5,7100,2190,Wheat,Grade B,3,9,2500,Tractor Trolley,8,4,0,Overcast,20.0
